,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary_low,salary_medium,Predicted_Probability,Risk_Zone
1683,0.44,0.54,2,135,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
832,0.39,0.48,2,161,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96,4
1548,0.9,0.99,4,259,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0.92,4
1143,0.1,0.91,6,286,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0.96,4
336,0.77,0.87,5,266,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
288,0.82,0.91,5,232,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1868,0.44,0.56,2,133,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
40,0.87,0.88,5,269,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12226,0.37,0.46,2,158,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
39,0.41,0.54,2,152,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14283,0.45,0.49,2,149,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,4
1631,0.1,0.85,6,283,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14680,0.41,0.52,2,159,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12144,0.84,0.99,4,267,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
14636,0.42,0.51,2,136,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14992,0.4,0.48,2,155,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1715,0.36,0.46,2,157,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
85,0.11,0.87,6,305,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
1883,0.37,0.54,2,157,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1458,0.4,0.5,2,136,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
12166,0.43,0.55,2,129,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
937,0.11,0.8,6,286,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1730,0.44,0.55,2,141,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14329,0.37,0.57,2,133,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1217,0.76,0.95,4,259,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.95,4
14657,0.44,0.46,2,143,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12609,0.1,0.85,7,279,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0.97,4
1346,0.73,0.95,4,223,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0.97,4
494,0.84,1.0,5,218,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1856,0.11,0.92,6,281,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
33,0.45,0.55,2,140,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
582,0.74,0.87,5,242,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
287,0.11,0.79,6,292,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0.96,4
12700,0.46,0.54,2,143,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14365,0.39,0.48,2,160,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1243,0.82,0.85,4,274,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.98,4
1544,0.81,0.95,4,275,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.93,4
1524,0.74,0.86,5,262,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.98,4
12340,0.09,0.89,7,308,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
821,0.74,0.93,5,244,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.99,4
36,0.38,0.46,2,137,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
562,0.4,0.57,2,160,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
1846,0.46,0.53,2,161,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0.96,4
1710,0.11,0.97,6,254,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0.96,4
846,0.1,0.84,6,253,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0.99,4
14302,0.89,1.0,5,246,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14534,0.11,0.91,7,287,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
109,0.4,0.49,2,155,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
359,0.09,0.91,6,275,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14570,0.09,0.91,6,275,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12688,0.09,0.82,6,257,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
1935,0.39,0.45,2,140,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1877,0.39,0.51,2,137,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12222,0.37,0.51,2,153,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0.96,4
14635,0.45,0.46,2,130,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1344,0.39,0.57,2,150,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14491,0.1,0.98,6,268,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
343,0.41,0.56,2,143,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12328,0.1,0.85,6,266,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12625,0.78,0.98,5,263,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14834,0.36,0.52,2,146,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
198,0.1,0.89,7,285,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12248,0.87,0.91,4,228,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
189,0.44,0.51,2,156,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,4
144,0.84,0.99,4,267,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
838,0.81,0.9,5,238,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
12350,0.09,0.8,6,304,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1384,0.11,0.91,6,279,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1757,0.36,0.51,2,144,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12755,0.37,0.48,2,160,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
1222,0.4,0.46,2,134,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
14976,0.4,0.47,2,136,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
1229,0.42,0.55,2,148,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1498,0.42,0.49,2,152,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14877,0.84,1.0,5,242,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1938,0.36,0.54,2,153,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
12126,0.38,0.49,2,132,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
56,0.11,0.94,7,255,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12659,0.77,0.91,5,221,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.99,4
12693,0.1,0.83,6,278,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0.99,4
761,0.09,0.93,6,249,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12724,0.45,0.56,2,146,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
595,0.09,0.87,5,263,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
856,0.1,0.85,6,273,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14813,0.1,0.84,7,250,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
12650,0.39,0.45,2,134,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
89,0.1,0.79,6,291,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14847,0.44,0.53,2,140,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14870,0.77,0.91,5,221,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.99,4
1089,0.36,0.53,2,133,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
44,0.09,0.89,6,276,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12098,0.11,0.97,6,284,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1999,0.4,0.51,2,148,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1329,0.1,0.81,6,252,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
12585,0.4,0.51,2,139,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14403,0.74,0.91,4,232,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12324,0.37,0.45,2,131,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14460,0.11,0.84,6,298,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14425,0.4,0.53,2,151,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
941,0.43,0.56,2,136,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
527,0.09,0.9,7,289,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
1862,0.1,0.9,7,269,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
123,0.11,0.84,6,300,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
14739,0.09,0.8,6,301,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
14925,0.11,0.95,6,279,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1441,0.11,0.83,7,255,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.95,4
12104,0.43,0.52,2,158,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12260,0.46,0.46,2,154,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
14581,0.37,0.45,2,142,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
61,0.11,0.93,7,308,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
522,0.1,0.95,7,289,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12188,0.37,0.55,2,152,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12056,0.11,0.94,7,255,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1784,0.43,0.51,2,149,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0.92,4
1712,0.36,0.51,2,157,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0.98,4
1654,0.1,0.89,7,253,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1594,0.4,0.46,2,132,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
454,0.09,0.97,7,254,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0.99,4
1476,0.79,0.95,5,228,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.95,4
558,0.43,0.55,2,136,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
476,0.11,0.87,5,271,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
883,0.37,0.51,2,128,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1714,0.41,0.56,2,133,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
1709,0.1,0.81,6,269,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
14389,0.37,0.51,2,127,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1264,0.86,0.98,4,270,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.94,4
1292,0.41,0.52,2,132,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,4
14520,0.1,0.94,6,285,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
12652,0.09,0.77,6,290,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1666,0.41,0.51,2,159,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
12498,0.44,0.48,2,143,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
566,0.11,0.79,7,310,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1039,0.82,1.0,4,273,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.96,4
12094,0.09,0.83,6,255,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
787,0.39,0.46,2,156,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
629,0.46,0.54,2,144,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1994,0.43,0.54,2,156,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14327,0.86,0.68,5,263,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0.95,4
12403,0.92,0.93,5,240,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14291,0.45,0.54,2,140,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12147,0.11,0.87,6,306,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12627,0.41,0.46,2,156,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
860,0.79,1.0,4,218,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.97,4
14517,0.37,0.46,2,149,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4
488,0.1,0.83,7,276,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
589,0.39,0.54,2,155,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14770,0.11,0.8,7,296,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
637,0.43,0.52,2,147,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14526,0.73,0.86,4,245,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.97,4
423,0.4,0.46,2,143,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,4
28,0.41,0.46,2,128,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
6466,0.39,0.57,2,132,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
111,0.09,0.85,6,289,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,4
763,0.39,0.46,2,159,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1561,0.11,0.88,6,290,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
799,0.43,0.5,2,161,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0.94,4
14776,0.79,0.58,3,294,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
1088,0.91,0.9,4,250,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.98,4
12583,0.44,0.56,2,145,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1467,0.1,0.89,7,272,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14483,0.81,0.93,5,270,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
12628,0.72,0.85,5,244,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
1881,0.4,0.48,2,142,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1735,0.38,0.46,2,160,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14371,0.1,0.95,7,301,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
1145,0.37,0.49,2,153,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0.95,4
713,0.73,0.92,5,232,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
1386,0.09,0.93,7,270,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1731,0.41,0.56,2,133,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14574,0.72,0.96,5,267,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
692,0.84,0.86,5,268,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0.99,4
12084,0.11,0.77,6,291,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
1515,0.72,0.99,5,257,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,4
1122,0.39,0.57,2,131,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
133,0.44,0.51,2,138,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1833,0.1,0.85,6,266,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1684,0.38,0.49,2,128,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1998,0.84,0.96,4,247,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
422,0.86,1.0,5,257,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12178,0.37,0.51,2,127,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12146,0.76,0.92,4,239,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
12493,0.1,0.94,6,309,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1611,0.09,0.92,7,301,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
1760,0.37,0.55,2,140,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14843,0.11,0.89,6,260,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1076,0.09,0.79,6,276,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14630,0.82,0.85,4,223,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
1952,0.46,0.55,2,145,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14294,0.84,0.85,4,249,6,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14407,0.27,0.54,7,278,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0.94,4
14281,0.74,0.99,2,277,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
12749,0.86,0.84,4,246,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14848,0.43,0.52,2,147,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1795,0.85,0.96,4,217,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.91,4
887,0.41,0.51,2,137,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1167,0.43,0.5,2,127,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0.93,4
14896,0.75,1.0,5,223,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
14900,0.37,0.5,2,154,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0.99,4
1534,0.1,0.94,6,297,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
12485,0.32,0.95,5,172,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0.96,4
268,0.38,0.56,2,156,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1711,0.42,0.5,2,143,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
142,0.11,0.8,6,256,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
258,0.88,0.88,5,232,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0.96,4
782,0.72,1.0,4,245,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.92,4
285,0.4,0.56,2,148,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12703,0.44,0.53,2,159,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12424,0.45,0.46,2,130,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
480,0.37,0.49,2,151,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
760,0.1,0.9,7,290,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12063,0.36,0.56,2,132,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
12461,0.43,0.5,2,137,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1040,0.11,0.89,6,309,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1159,0.11,0.95,7,269,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.99,4
266,0.11,0.95,6,286,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14625,0.91,0.97,5,233,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0.99,4
552,0.82,0.85,5,248,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
868,0.74,0.88,4,248,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0.97,4
12033,0.45,0.55,2,140,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1556,0.44,0.5,2,154,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
165,0.11,0.84,7,296,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12550,0.11,0.96,6,298,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
7443,0.85,0.96,4,240,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0.97,4
12272,0.81,0.93,5,270,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
14887,0.46,0.53,2,147,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14994,0.4,0.57,2,151,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14324,0.9,0.96,4,258,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1479,0.39,0.57,2,142,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
14828,0.83,0.95,4,251,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,4
14512,0.12,1.0,3,278,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0.99,4
14479,0.38,0.56,2,156,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14411,0.9,0.82,5,259,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
